order_id,date,product_name,category,region,quantity_sold,unit_price,cost_price,revenue,profit,customer_type
1,2024-01-05,Carex Soap,Hygiene,Lagos,3,1200,800,3600,1200,Retail
2,2024-01-06,Shampoo,Beauty,Abuja,2,2500,1700,5000,1600,Retail
3,2024-01-07,Cussons Baby Lotion,Baby,Ibadan,5,3000,2100,15000,4500,Wholesale
4,2024-01-08,Toothpaste,Hygiene,Kano,4,1500,900,6000,2400,Retail
5,2024-01-09,Body Cream,Beauty,Port Harcourt,2,4000,2600,8000,2800,Retail
6,2024-01-10,Hand Sanitizer,Hygiene,Lagos,6,1000,600,6000,2400,Wholesale
7,2024-01-11,Face Cream,Beauty,Accra,3,3500,2400,10500,3300,Retail
8,2024-01-12,Body Wash,Beauty,Nairobi,2,2800,1900,5600,1800,Retail
9,2024-01-13,Deodorant,Beauty,Lagos,4,2000,1200,8000,3200,Retail
10,2024-01-14,Sanitary Wash,Hygiene,Cape Town,5,1800,1100,9000,3500,Wholesale
